<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MOBB;D;20/10/17;000000;2.9700000
MOBB;D;23/10/17;000000;2.9500000
MOBB;D;24/10/17;000000;2.9600000
MOBB;D;25/10/17;000000;2.8500000
MOBB;D;26/10/17;000000;2.8100000
MOBB;D;27/10/17;000000;2.8300000
MOBB;D;30/10/17;000000;2.8300000
MOBB;D;31/10/17;000000;2.8100000
MOBB;D;01/11/17;000000;2.8000000
MOBB;D;02/11/17;000000;2.8000000
MOBB;D;03/11/17;000000;2.7400000
MOBB;D;07/11/17;000000;2.7100000
MOBB;D;08/11/17;000000;2.7300000
MOBB;D;09/11/17;000000;2.7000000
MOBB;D;10/11/17;000000;2.6900000
MOBB;D;13/11/17;000000;2.6900000
MOBB;D;14/11/17;000000;2.6700000
MOBB;D;15/11/17;000000;2.5500000
MOBB;D;16/11/17;000000;2.4800000
MOBB;D;17/11/17;000000;2.4200000
MOBB;D;20/11/17;000000;2.3900000
MOBB;D;21/11/17;000000;2.3900000
MOBB;D;22/11/17;000000;2.3500000
MOBB;D;23/11/17;000000;2.3100000
MOBB;D;24/11/17;000000;2.3300000
MOBB;D;27/11/17;000000;2.2500000
MOBB;D;28/11/17;000000;2.2300000
MOBB;D;29/11/17;000000;2.1300000
MOBB;D;30/11/17;000000;2.0300000
MOBB;D;01/12/17;000000;1.9900000
